[i] Train : 134472
[i] Valid : 14942
[i] restored LSEP Loss (Inception_ResNet_v2)
[i] max_iteration : 210100
[i] decay_iteration : [105050 157575]
[i] iter : 50, loss : 18.6531, lsep_loss : 5.9951, topk_loss : 2.3358, conf_loss : 9.0760, l2_reg_loss : 1.2462, train_time : 219sec
[i] iter : 100, loss : 12.4541, lsep_loss : 5.9911, topk_loss : 2.2173, conf_loss : 2.9980, l2_reg_loss : 1.2477, train_time : 29sec
[i] iter : 150, loss : 12.0156, lsep_loss : 5.7924, topk_loss : 2.2267, conf_loss : 2.7484, l2_reg_loss : 1.2481, train_time : 28sec
[i] iter : 200, loss : 12.0056, lsep_loss : 5.8664, topk_loss : 2.1814, conf_loss : 2.7092, l2_reg_loss : 1.2485, train_time : 29sec
[i] iter : 250, loss : 11.9320, lsep_loss : 5.8501, topk_loss : 2.1785, conf_loss : 2.6544, l2_reg_loss : 1.2489, train_time : 29sec
[i] iter : 300, loss : 11.8073, lsep_loss : 5.7572, topk_loss : 2.1871, conf_loss : 2.6136, l2_reg_loss : 1.2494, train_time : 29sec
[i] iter : 350, loss : 11.5221, lsep_loss : 5.6688, topk_loss : 2.1614, conf_loss : 2.4420, l2_reg_loss : 1.2499, train_time : 29sec
[i] iter : 400, loss : 11.6784, lsep_loss : 5.7756, topk_loss : 2.1431, conf_loss : 2.5093, l2_reg_loss : 1.2504, train_time : 29sec
[i] iter : 450, loss : 11.6510, lsep_loss : 5.7386, topk_loss : 2.1584, conf_loss : 2.5030, l2_reg_loss : 1.2509, train_time : 29sec
[i] iter : 500, loss : 11.6205, lsep_loss : 5.7411, topk_loss : 2.1624, conf_loss : 2.4656, l2_reg_loss : 1.2515, train_time : 29sec
[i] iter : 550, loss : 11.2567, lsep_loss : 5.5539, topk_loss : 2.1703, conf_loss : 2.2806, l2_reg_loss : 1.2520, train_time : 29sec
[i] iter : 600, loss : 11.3232, lsep_loss : 5.5876, topk_loss : 2.1323, conf_loss : 2.3508, l2_reg_loss : 1.2525, train_time : 29sec
[i] iter : 650, loss : 11.5532, lsep_loss : 5.7616, topk_loss : 2.1434, conf_loss : 2.3951, l2_reg_loss : 1.2530, train_time : 29sec
[i] iter : 700, loss : 11.3347, lsep_loss : 5.6461, topk_loss : 2.1470, conf_loss : 2.2881, l2_reg_loss : 1.2535, train_time : 29sec
[i] iter : 750, loss : 11.3652, lsep_loss : 5.7049, topk_loss : 2.1357, conf_loss : 2.2706, l2_reg_loss : 1.2540, train_time : 29sec
[i] iter : 800, loss : 11.4027, lsep_loss : 5.7159, topk_loss : 2.1437, conf_loss : 2.2886, l2_reg_loss : 1.2545, train_time : 29sec
[i] iter : 850, loss : 11.4959, lsep_loss : 5.7961, topk_loss : 2.1496, conf_loss : 2.2952, l2_reg_loss : 1.2551, train_time : 29sec
[i] iter : 900, loss : 11.4414, lsep_loss : 5.7720, topk_loss : 2.1358, conf_loss : 2.2780, l2_reg_loss : 1.2556, train_time : 29sec
[i] iter : 950, loss : 11.4771, lsep_loss : 5.7938, topk_loss : 2.1164, conf_loss : 2.3107, l2_reg_loss : 1.2562, train_time : 29sec
[i] iter : 1000, loss : 11.3512, lsep_loss : 5.7450, topk_loss : 2.1223, conf_loss : 2.2272, l2_reg_loss : 1.2567, train_time : 29sec
[i] iter : 1050, loss : 11.4238, lsep_loss : 5.8377, topk_loss : 2.1485, conf_loss : 2.1803, l2_reg_loss : 1.2573, train_time : 30sec
[i] iter : 1100, loss : 11.4252, lsep_loss : 5.7844, topk_loss : 2.1302, conf_loss : 2.2528, l2_reg_loss : 1.2578, train_time : 29sec
[i] iter : 1150, loss : 11.2588, lsep_loss : 5.6533, topk_loss : 2.1466, conf_loss : 2.2005, l2_reg_loss : 1.2583, train_time : 29sec
[i] iter : 1200, loss : 11.5678, lsep_loss : 5.9124, topk_loss : 2.1483, conf_loss : 2.2482, l2_reg_loss : 1.2589, train_time : 29sec
[i] iter : 1250, loss : 11.4058, lsep_loss : 5.7416, topk_loss : 2.1420, conf_loss : 2.2628, l2_reg_loss : 1.2594, train_time : 29sec
[i] iter : 1300, loss : 11.4926, lsep_loss : 5.8266, topk_loss : 2.1285, conf_loss : 2.2774, l2_reg_loss : 1.2600, train_time : 29sec
[i] iter : 1350, loss : 11.6455, lsep_loss : 5.9512, topk_loss : 2.1495, conf_loss : 2.2842, l2_reg_loss : 1.2606, train_time : 29sec
[i] iter : 1400, loss : 11.4053, lsep_loss : 5.7981, topk_loss : 2.1523, conf_loss : 2.1936, l2_reg_loss : 1.2612, train_time : 29sec
[i] iter : 1450, loss : 11.1963, lsep_loss : 5.6861, topk_loss : 2.1287, conf_loss : 2.1197, l2_reg_loss : 1.2618, train_time : 29sec
[i] iter : 1500, loss : 11.4544, lsep_loss : 5.8362, topk_loss : 2.1281, conf_loss : 2.2278, l2_reg_loss : 1.2623, train_time : 29sec
[i] iter : 1550, loss : 11.4012, lsep_loss : 5.8378, topk_loss : 2.1343, conf_loss : 2.1663, l2_reg_loss : 1.2629, train_time : 29sec
[i] iter : 1600, loss : 11.2945, lsep_loss : 5.7770, topk_loss : 2.1422, conf_loss : 2.1119, l2_reg_loss : 1.2634, train_time : 29sec
[i] iter : 1650, loss : 11.4163, lsep_loss : 5.8450, topk_loss : 2.1465, conf_loss : 2.1609, l2_reg_loss : 1.2639, train_time : 29sec
[i] iter : 1700, loss : 11.2500, lsep_loss : 5.7269, topk_loss : 2.1253, conf_loss : 2.1334, l2_reg_loss : 1.2644, train_time : 29sec
